20.07.06 08:00:47: root: DEBUG  : ColumnA ColumnB ColumnC ColumnD
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.01 0.791
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) -0.003 0.369
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.609 0.1638
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 8.982 2.4152
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.051 1832.56374047
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.563967945
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -42.236 1832.570270591
20.07.06 08:00:55: root: DEBUG  : global_x(m) 0.928 global_y(m) 0.8
20.07.06 08:00:55: root: DEBUG  : heading(deg) -26.757
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.308 vectorDirection(deg) -76.6
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.008 0.799
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) -0.001 0.368
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.066
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6193 0.1605
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.3448 2.4215
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.052 1832.631162484
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.631392459
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -46.997 1832.640082761
20.07.06 08:00:55: root: DEBUG  : global_x(m) 0.942 global_y(m) 0.792
20.07.06 08:00:55: root: DEBUG  : heading(deg) -29.737
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.298 vectorDirection(deg) -78.9
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.049
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.0 0.8
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) -0.002 0.366
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.659 0.1538
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.752 2.2756
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.058 1832.697747757
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.701971421
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -43.274 1832.710070537
20.07.06 08:00:55: root: DEBUG  : global_x(m) 0.957 global_y(m) 0.784
20.07.06 08:00:55: root: DEBUG  : heading(deg) -33.06
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.287 vectorDirection(deg) -81.4
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) -0.008 0.792
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.001 0.368
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.071
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6596 0.1467
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.3149 2.0715
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.058 1832.769195373
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.769563458
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -42.847 1832.779893789
20.07.06 08:00:55: root: DEBUG  : global_x(m) 0.971 global_y(m) 0.774
20.07.06 08:00:55: root: DEBUG  : heading(deg) -36.383
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.275 vectorDirection(deg) -84.0
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.048
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.001 0.793
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.005 0.373
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.596 0.125
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 8.8181 1.8499
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.054 1832.836145023
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.836405494
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -39.978 1832.840112881
20.07.06 08:00:55: root: DEBUG  : global_x(m) 0.983 global_y(m) 0.765
20.07.06 08:00:55: root: DEBUG  : heading(deg) -39.477
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.265 vectorDirection(deg) -86.3
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.054
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.011 0.804
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.01 0.383
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.5887 0.1304
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 8.7025 1.9276
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.052 1832.903616157
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.903838007
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -39.612 1832.909989711
20.07.06 08:00:55: root: DEBUG  : global_x(m) 0.994 global_y(m) 0.755
20.07.06 08:00:55: root: DEBUG  : heading(deg) -42.456
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.255 vectorDirection(deg) -88.7
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.052
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.013 0.817
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.008 0.391
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.066
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.5846 0.1271
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 8.8028 1.9141
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.052 1832.97177834
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1832.972144592
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -39.551 1832.97994599
20.07.06 08:00:55: root: DEBUG  : global_x(m) 1.005 global_y(m) 0.744
20.07.06 08:00:55: root: DEBUG  : heading(deg) -45.436
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.244 vectorDirection(deg) -91.2
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.011 0.828
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.009 0.4
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6247 0.1457
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.1529 2.1351
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.055 1833.04015675
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1833.0404673
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -40.771 1833.050180406
20.07.06 08:00:55: root: DEBUG  : global_x(m) 1.016 global_y(m) 0.733
20.07.06 08:00:55: root: DEBUG  : heading(deg) -48.587
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.233 vectorDirection(deg) -93.9
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.048
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.004 0.833
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.004 0.404
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.069
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6305 0.1471
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.1821 2.1419
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.055 1833.107012076
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1833.107236677
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -40.405 1833.109992501
20.07.06 08:00:55: root: DEBUG  : global_x(m) 1.026 global_y(m) 0.72
20.07.06 08:00:55: root: DEBUG  : heading(deg) -51.738
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.222 vectorDirection(deg) -96.8
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.055
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) 0.004 0.836
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) 0.004 0.408
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6418 0.1647
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.4025 2.4131
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.054 1833.175242627
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1833.175472436
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -40.1 1833.179971819
20.07.06 08:00:55: root: DEBUG  : global_x(m) 1.036 global_y(m) 0.707
20.07.06 08:00:55: root: DEBUG  : heading(deg) -54.832
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.21 vectorDirection(deg) -99.9
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) -0.001 0.836
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) -0.001 0.406
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6366 0.1707
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.4196 2.5251
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.053 1833.242864162
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1833.243091887
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -40.833 1833.250210318
20.07.06 08:00:55: root: DEBUG  : global_x(m) 1.046 global_y(m) 0.693
20.07.06 08:00:55: root: DEBUG  : heading(deg) -57.869
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.198 vectorDirection(deg) -103.3
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:55: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:55: root: DEBUG  : EffortLeft(duty) -0.001 0.834
20.07.06 08:00:55: root: DEBUG  : EffortRight(duty) -0.004 0.403
20.07.06 08:00:55: root: DEBUG  : Time_Increment(s) 0.066
20.07.06 08:00:55: root: DEBUG  : Wheel_Increments(rad) 0.6337 0.1659
20.07.06 08:00:55: root: DEBUG  : Wheel_Speeds(rad/s) 9.5343 2.4954
20.07.06 08:00:55: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.053 1833.310522275
20.07.06 08:00:55: root: DEBUG  : TimeStamp(s) 1833.311339603
20.07.06 08:00:55: root: DEBUG  : Gyro_raw(deg/s) -41.809 1833.319936706
20.07.06 08:00:55: root: DEBUG  : global_x(m) 1.054 global_y(m) 0.679
20.07.06 08:00:55: root: DEBUG  : heading(deg) -60.905
20.07.06 08:00:55: root: DEBUG  : vectorLength(m) 0.187 vectorDirection(deg) -106.7
20.07.06 08:00:55: root: DEBUG  : CurveFlip -1
20.07.06 08:00:55: root: DEBUG  : sleepTime(s) 0.049
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.003 0.831
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.003 0.4
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6625 0.1789
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.6931 2.6176
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.055 1833.377762769
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.377990994
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -41.748 1833.379980193
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.062 global_y(m) 0.664
20.07.06 08:00:56: root: DEBUG  : heading(deg) -64.057
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.175 vectorDirection(deg) -110.6
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.056
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.007 0.825
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.006 0.394
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6232 0.2153
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.2684 3.2026
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.046 1833.445064965
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.445303272
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -31.494 1833.450145119
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.069 global_y(m) 0.648
20.07.06 08:00:56: root: DEBUG  : heading(deg) -66.692
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.164 vectorDirection(deg) -114.9
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) 0.002 0.826
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.017 0.377
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6002 0.2109
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 8.8661 3.1159
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.044 1833.512773033
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.513020589
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -33.569 1833.51988984
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.075 global_y(m) 0.633
20.07.06 08:00:56: root: DEBUG  : heading(deg) -69.213
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.152 vectorDirection(deg) -119.5
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) 0.01 0.836
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.015 0.361
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.5795 0.1965
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 8.6985 2.9503
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.044 1833.580427857
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.580718659
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -34.363 1833.589849496
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.08 global_y(m) 0.618
20.07.06 08:00:56: root: DEBUG  : heading(deg) -71.734
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.142 vectorDirection(deg) -124.4
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.049
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) 0.013 0.85
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.012 0.349
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6094 0.2073
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 8.9917 3.0585
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.046 1833.646947139
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.647170531
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -33.752 1833.650187452
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.085 global_y(m) 0.601
20.07.06 08:00:56: root: DEBUG  : heading(deg) -74.37
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.132 vectorDirection(deg) -130.2
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.055
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) 0.007 0.857
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.014 0.335
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6291 0.1977
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.3356 2.9336
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.017 -0.049 1833.714341699
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.714571466
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -42.908 1833.71988422
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.09 global_y(m) 0.585
20.07.06 08:00:56: root: DEBUG  : heading(deg) -77.177
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.123 vectorDirection(deg) -136.6
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) 0.001 0.858
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.012 0.323
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6393 0.1634
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.5224 2.4334
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.054 1833.781887077
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.782112803
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -48.035 1833.789859957
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.093 global_y(m) 0.569
20.07.06 08:00:56: root: DEBUG  : heading(deg) -80.271
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.116 vectorDirection(deg) -143.3
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.003 0.855
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) -0.002 0.321
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6627 0.1348
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.8794 2.0096
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.06 1833.84938421
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.850331107
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -50.537 1833.859832112
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.095 global_y(m) 0.553
20.07.06 08:00:56: root: DEBUG  : heading(deg) -83.709
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.109 vectorDirection(deg) -150.7
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.048
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.01 0.845
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) 0.007 0.328
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6738 0.1141
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.8791 1.6728
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.064 1833.91694567
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.917743999
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -52.368 1833.919790901
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.096 global_y(m) 0.537
20.07.06 08:00:56: root: DEBUG  : heading(deg) -87.376
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.103 vectorDirection(deg) -158.8
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.056
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.01 0.834
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) 0.013 0.341
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6663 0.1043
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.8034 1.5347
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.016 -0.064 1833.984908918
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1833.985150975
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -51.636 1833.989848088
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.096 global_y(m) 0.521
20.07.06 08:00:56: root: DEBUG  : heading(deg) -91.043
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.099 vectorDirection(deg) -167.5
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.009 0.825
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) 0.016 0.357
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6602 0.0947
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.7155 1.394
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.064 1834.052928536
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1834.053168676
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -53.406 1834.059801369
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.096 global_y(m) 0.506
20.07.06 08:00:56: root: DEBUG  : heading(deg) -94.71
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.096 vectorDirection(deg) -176.2
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.007 0.819
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) 0.019 0.376
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6387 0.0884
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.5836 1.3263
20.07.06 08:00:56: root: DEBUG  : Chassis_Increment(m,rad) 0.015 -0.063 1834.120619439
20.07.06 08:00:56: root: DEBUG  : TimeStamp(s) 1834.120879494
20.07.06 08:00:56: root: DEBUG  : Gyro_raw(deg/s) -53.04 1834.130106904
20.07.06 08:00:56: root: DEBUG  : global_x(m) 1.094 global_y(m) 0.491
20.07.06 08:00:56: root: DEBUG  : heading(deg) -98.32
20.07.06 08:00:56: root: DEBUG  : vectorLength(m) 0.094 vectorDirection(deg) 174.8
20.07.06 08:00:56: root: DEBUG  : CurveFlip -1
20.07.06 08:00:56: root: DEBUG  : sleepTime(s) 0.048
20.07.06 08:00:56: root: DEBUG  : PhiSetPoints(rad/s) 9.366 2.341
20.07.06 08:00:56: root: DEBUG  : EffortLeft(duty) -0.004 0.814
20.07.06 08:00:56: root: DEBUG  : EffortRight(duty) 0.02 0.397
20.07.06 08:00:56: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:56: root: DEBUG  : Wheel_Increments(rad) 0.6387 0.1009
20.07.06 08:00:56: root: DEBUG  : Wheel_Speeds(rad/s) 9.4123 1.4863
